gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY
MLH1,"HSBO: 50, Survey: Never",39.92887444441333,22.145214464382523,45.19253023999705,0.0,0.7882093868500399,0.0,0.0,14597.501000791166,29248.015159014205,0.05718168433375047,0.04722579545637697,0.1252494706407808,0.052548733960085824,0.18243115497453127,0.0997745294164628,0.0013670590152650099,0.3652,0.1508,0.516,ec lifetime risk,-2,659.1718054602362
MLH1,Nat Hist,38.60732208245872,21.756865988772383,44.12549039633134,0.40900950607608133,0.0,0.0,0.0,18655.31086681863,44124.38429034585,0.11899199442760025,0.08974493110221303,0.31630247249600557,0.106838819278752,0.43529446692360585,0.19658375038096504,0.0,0.3652,0.1508,0.516,ec lifetime risk,-2,857.4447660083805
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.945318531480304,22.491506428025602,46.02038164358082,0.0,0.8673002906177345,0.04721107826592495,0.0,15778.845681542387,28344.98528002782,0.05916219082093387,0.048698567798684735,0.014373703326346018,0.006829118409403546,0.07353589414727989,0.05552768620808828,0.0015314506825770938,0.3652,0.1508,0.516,ec lifetime risk,-2,701.5468586791108
MLH1,"HSBO: 35, Survey: 30",40.721066234315444,22.076050908467803,47.15223814609473,0.0,0.9785364102732711,0.0,0.2545042499797176,13545.26033886834,17865.905219461278,0.008363496606640907,0.005803414225301137,0.007017793931211716,0.0029611745262312474,0.015381290537852622,0.008764588751532385,0.0016691535407139587,0.3866,0.1508,0.5374,ec lifetime risk,-1,613.5726174500136
MLH1,"HSBO: 40, Survey: 30",40.825981027913414,22.204181143383437,47.00280806811752,0.0,0.9641695748391367,0.0,0.4403293676038433,16782.576186284186,23688.72143002409,0.014418991649551993,0.010070966069314433,0.012100457432588495,0.00495132559597263,0.02651944908214049,0.015022291665287063,0.0016435218062831533,0.3866,0.1508,0.5374,ec lifetime risk,-1,755.8295475032719
MLH1,"HSBO: 50, Survey: 30",40.54945063751469,22.181581272017812,46.52836270744262,0.0,0.8956660898881282,0.0,0.6606666366159838,21715.069926077875,34608.81943536255,0.029446462144892376,0.01982840553093664,0.05885547185464725,0.020921924500589512,0.08830193399953962,0.04075033003152615,0.0015309569363685424,0.3866,0.1508,0.5374,ec lifetime risk,-1,978.968526174081
MLH1,"HSBO: Never, Survey: 30",40.18180918768982,22.057901671084235,46.164733538507,0.0,0.8104220788734022,0.0,0.8104220788734022,23911.31219752838,40658.87372312974,0.04013490011404444,0.03290692961198114,0.0932286622876414,0.028731966767148148,0.13336356240168584,0.06163889637912929,0.0013777963450620938,0.3866,0.1508,0.5374,ec lifetime risk,-1,1084.0247886712536
MLH1,"HSBO: 40, Survey: 35",40.842527177200715,22.270352004809855,46.825885434921624,0.0,0.9555716984140827,0.0,0.24887415354003703,13329.56951164279,20335.584033361538,0.01814205675895771,0.013910681376310581,0.015221757302640502,0.006713229220767826,0.03336381406159821,0.020623910597078406,0.0016304530320426724,0.3866,0.1508,0.5374,ec lifetime risk,-1,598.534298369596
MLH1,"HSBO: 50, Survey: 35",40.4694680930017,22.239863177514888,46.185825036855924,0.0,0.8631556448894843,0.0,0.5461247366461763,19983.85295127401,35067.569748788526,0.03841517890201243,0.027074158361360453,0.07829758356845094,0.028258698392803646,0.11671276247046337,0.0553328567541641,0.0014785950491902969,0.3866,0.1508,0.5374,ec lifetime risk,-1,898.5600671985353
MLH1,"HSBO: Never, Survey: 35",40.020101834417446,22.094946601073243,45.76395957516131,0.0,0.7481554359187665,0.0,0.7481554359187665,22943.823738643037,43429.202871486756,0.052834638819386576,0.04324397172005256,0.12466945222795994,0.03879499862120591,0.17750409104734652,0.08203897034125847,0.0012719705626527322,0.3866,0.1508,0.5374,ec lifetime risk,-1,1038.4195152356042
MLH1,"HSBO: 35, Survey: Never",40.70098968917939,22.09749524202541,47.02747719473364,0.0,0.9749535770646294,0.0,0.0,8590.719803441434,11980.95268513739,0.009972765015569172,0.008153451654094415,0.008364884217618775,0.004028374458783201,0.018337649233187946,0.012181826112877617,0.001665032057369335,0.3866,0.1508,0.5374,ec lifetime risk,-1,388.76441467010477
MLH1,"HSBO: 40, Survey: Never",40.812640082224135,22.27856843146465,46.700825566895475,0.0,0.9517989231532269,0.0,0.0,9167.692799219025,14575.340098569288,0.01971886225891682,0.01657748025199197,0.016539645669130187,0.007858506740282762,0.03625850792804701,0.024435986992274734,0.0016261287585314277,0.3866,0.1508,0.5374,ec lifetime risk,-1,411.50277799139167
MLH1,"HSBO: 50, Survey: Never",39.853826335682875,22.116864682525676,45.13165611343996,0.0,0.7814512801203706,0.0,0.0,14828.89353141331,29712.04749710251,0.05697498541109432,0.04706391047239476,0.13231915734781607,0.055620161746002615,0.18929414275891038,0.10268407221839737,0.0013562021925044804,0.3866,0.1508,0.5374,ec lifetime risk,-1,670.4790097635076
MLH1,Nat Hist,38.50383148619647,21.720477998086285,44.0476225010628,0.3950611208238906,0.0,0.0,0.0,19045.978126172413,45075.09389142542,0.11778915173170719,0.088995688144868,0.334384056780192,0.11256853813060351,0.4521732085118992,0.2015642262754715,0.0,0.3866,0.1508,0.5374,ec lifetime risk,-1,876.8673565954896
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.91671080769143,22.47963388636952,45.99653236671645,0.0,0.8653579441848118,0.04710570397628289,0.0,15856.90089468063,28479.504117274468,0.05905413725104958,0.048611008528314646,0.016539645669130187,0.007858506740282762,0.07559378292017976,0.056469515268597406,0.0015280209503347785,0.3866,0.1508,0.5374,ec lifetime risk,-1,705.3896417901819
MLH1,"HSBO: 35, Survey: 30",40.71000256151025,22.071593072185287,47.142728087694564,0.0,0.9776179733117161,0.0,0.2544243378368788,13583.617888102628,17935.236243511692,0.008359839413772533,0.005801016293362685,0.007941295086822269,0.0033508757216914728,0.016301134500594804,0.009151892015054158,0.0016678626438596882,0.408,0.1508,0.5588,na,na,615.4344112668858
MLH1,"HSBO: 40, Survey: 30",40.80795034967692,22.19700074357382,46.98788378455932,0.0,0.9626039487234549,0.0,0.4399816993727548,16840.24736741221,23797.676259517815,0.014405616689485458,0.010061988285126281,0.013686090482717076,0.005600316865767364,0.028091707172202534,0.015662305150893646,0.0016410502527545632,0.408,0.1508,0.5588,na,na,758.6721990937255
